selection_topic,ID,EventDate,Employer,Primary NAICS,Hospitalized,Amputation,Loss of Eye,NatureTitle,Part of Body Title,EventTitle,SourceTitle,Final Narrative,text,human_sif_label,human_action,human_object,human_control_deficiency,human_iogp_rule
lifting_line_of_fire,2015053285,5/29/2015,CATALENT,325412,1.0,0.0,0.0,Fractures,Lumbar region,Part of occupant s body caught between vehicle and other object in nonroadway transport incident,"Forklift, order picker, platform truck-powered","An employee was engaged in hands-on training on a side-oriented forklift, observed by a trainer/coach. She pulled down a load from a rack and was preparing to set it on the floor. She moved too close to the rack and her trainer directed her to stop and move to the center of the aisle. She stopped the forklift and had her foot on the pedal with the wheels turned. She intended to move forward, but instead reversed. The forklift swung around 180 degrees, reversed, and went partially under the rack. She hit her back on the rack and stopped the forklift. She was held between the rack and the forklift steering wheel, with her foot on the pedal.  The coach/trainer reached the forklift pedal and joystick from the ground and maneuvered the forklift forward. He helped her down and laid her on the floor. She was hospitalized overnight for lumbar fracture pain management.","An employee was engaged in hands-on training on a side-oriented forklift, observed by a trainer/coach. She pulled down a load from a rack and was preparing to set it on the floor. She moved too close to the rack and her trainer directed her to stop and move to the center of the aisle. She stopped the forklift and had her foot on the pedal with the wheels turned. She intended to move forward, but instead reversed. The forklift swung around 180 degrees, reversed, and went partially under the rack. She hit her back on the rack and stopped the forklift. She was held between the rack and the forklift steering wheel, with her foot on the pedal. The coach/trainer reached the forklift pedal and joystick from the ground and maneuvered the forklift forward. He helped her down and laid her on the floor. She was hospitalized overnight for lumbar fracture pain management.",1.0,driving,vehicle,none,Line of Fire
lifting_line_of_fire,2017032175,3/8/2017,TENNECO INC.,336330,1.0,0.0,0.0,Fractures,Pelvis,Struck by object falling from vehicle or machinery-other than vehicle part,"Reels, rolls, spools, coils, cones","On March 08, 2017, an employee was hoisting a steel coil via an underhung crane for placement in the cradle of a coil feeding machine. As the operator began to hoist and position the coil over the cradle, the lower button on the crane's control pendant was pressed before the coil was appropriately aligned between the cradle walls. The coil landed on the top edge of the cradle creating slack on the load line, breaking the safety latch, and displacing the coil attachment from the hook. The coil struck a few machine components before ultimately landing on the operator's lower half of his body and fracturing his pelvis. The employee was hospitalized.","On March 08, 2017, an employee was hoisting a steel coil via an underhung crane for placement in the cradle of a coil feeding machine. As the operator began to hoist and position the coil over the cradle, the lower button on the crane's control pendant was pressed before the coil was appropriately aligned between the cradle walls. The coil landed on the top edge of the cradle creating slack on the load line, breaking the safety latch, and displacing the coil attachment from the hook. The coil struck a few machine components before ultimately landing on the operator's lower half of his body and fracturing his pelvis. The employee was hospitalized.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
lifting_line_of_fire,2020077171,7/30/2020,"Meeco Sullivan, LLC",237990,1.0,0.0,0.0,Fractures,"Ankle(s) and leg(s), n.e.c.",Struck by object falling from vehicle or machinery-other than vehicle part,"Raft, floating dock","Two employees were using a gantry crane to flip a dock (approximately 45 feet long by 4 feet wide) from pontoons side up to pontoons side down. While the dock was at an approximately 45-degree angle, with the pontoons facing down, the injured employee began lowering the dock to the floor using the gantry crane s pendant. He then saw an issue and began to lift the dock back up, to roll the dock backwards and position it vertically. At this point, the rigging slipped out of the gantry crane s hook. When the injured employee began to lower the dock again, the dock fell on top of him, crushing his left ankle and fracturing his right femur.","Two employees were using a gantry crane to flip a dock (approximately 45 feet long by 4 feet wide) from pontoons side up to pontoons side down. While the dock was at an approximately 45-degree angle, with the pontoons facing down, the injured employee began lowering the dock to the floor using the gantry crane s pendant. He then saw an issue and began to lift the dock back up, to roll the dock backwards and position it vertically. At this point, the rigging slipped out of the gantry crane s hook. When the injured employee began to lower the dock again, the dock fell on top of him, crushing his left ankle and fracturing his right femur.",1.0,lifting,crane_lifting_equipment,none,Safe Mechanical Lifting
lifting_line_of_fire,2023076059,7/8/2023,"FERREIRA CONSTRUCTION CO., INC.",237310,1.0,1.0,0.0,Amputations,"Finger(s), fingernail(s), unspecified",Caught in running equipment or machinery during regular operation,"Pile drivers, tamping machinery","An employee was assisting with the placement of a vise vibratory hammer with a clamp onto a road plate that was vertically imbedded in the ground. The crane was lowered onto the road plate while the employees rotated the hammer into position. As the hammer s jaws were engaged onto the plate, the hammer shifted away from the injured employee. He was then pulled by the hammer as the clamp remained stationary on the embedded road plate for support of excavation. The hammer pulled him toward the clamp, pinching the employee's fingers against the stop plate on the rail and the clamp. The employee's right middle and ring fingers were partially amputated.","An employee was assisting with the placement of a vise vibratory hammer with a clamp onto a road plate that was vertically imbedded in the ground. The crane was lowered onto the road plate while the employees rotated the hammer into position. As the hammer s jaws were engaged onto the plate, the hammer shifted away from the injured employee. He was then pulled by the hammer as the clamp remained stationary on the embedded road plate for support of excavation. The hammer pulled him toward the clamp, pinching the employee's fingers against the stop plate on the rail and the clamp. The employee's right middle and ring fingers were partially amputated.",0.0,lifting,crane_lifting_equipment,none,Line of Fire
lifting_line_of_fire,2025076655,7/10/2025,Turner Industries Group,238990,1.0,0.0,0.0, Fractures   ," Rib(s), oblique area", Pedestrian struck by vehicle or object propelled by another vehicle in nonroadway area," Forklift, order picker, platform truck powered","An employee rigged a crate so that it could be removed from a shipping container. The pallet jack could not access the crate in the back of the container so a choker was attached to the crate and a forklift attached to the choker to pull the crate into a position where the pallet jack could reach it. As the forklift operator was pulling out the crate with the choker and the employee was walking away, the crate came apart and a 4 x 4 portion of the skid struck the employee who rigged it in the back of the head below their hard hat, resulting in a laceration. The employee was knocked to the floor and sustained a fractured ninth rib on his left side.","An employee rigged a crate so that it could be removed from a shipping container. The pallet jack could not access the crate in the back of the container so a choker was attached to the crate and a forklift attached to the choker to pull the crate into a position where the pallet jack could reach it. As the forklift operator was pulling out the crate with the choker and the employee was walking away, the crate came apart and a 4 x 4 portion of the skid struck the employee who rigged it in the back of the head below their hard hat, resulting in a laceration. The employee was knocked to the floor and sustained a fractured ninth rib on his left side.",1.0,material_handling,crane_lifting_equipment,none,Line of Fire
pressure_line_breaking,2015063809,6/14/2015,"TEX-TRUDE, INC.",326113,1.0,1.0,0.0,Amputations,"Finger(s), fingernail(s), n.e.c.","Caught in running equipment or machinery during maintenance, cleaning ",Trash compactors,"An employee was helping a coworker move material from reprocessing to the film department, which involved attaching a 4-inch hose to a hopper. Once the hose is hooked up, material flows through a filtering system in the hopper. There is a rotary valve at the bottom of the filter.  The valve rotates and dumps waste into a container. The hopper was jammed or clogged up, so the employees tried to get it to work by cycling the power. The injured employee was going to feel around the rotary valve for the jam or clog when the rotary valve ""sucked his hand up"" into it and amputated the distal phalanx of the thumb.","An employee was helping a coworker move material from reprocessing to the film department, which involved attaching a 4-inch hose to a hopper. Once the hose is hooked up, material flows through a filtering system in the hopper. There is a rotary valve at the bottom of the filter. The valve rotates and dumps waste into a container. The hopper was jammed or clogged up, so the employees tried to get it to work by cycling the power. The injured employee was going to feel around the rotary valve for the jam or clog when the rotary valve ""sucked his hand up"" into it and amputated the distal phalanx of the thumb.",1.0,maintenance_repair,machinery,no_isolation,Energy Isolation
pressure_line_breaking,2017076668,7/18/2017,"Bison Drilling and Field Services, LLC",211111,1.0,0.0,0.0,Crushing injuries,"Finger(s), fingernail(s), n.e.c.","Caught in or compressed by equipment or objects, unspecified",Oil drilling rigs and machinery,"An employee was helping a coworker lower a cutting trough. The coworker attached a chain to the cutting trough and a shaker walkway overhang. The employee centered a forklift on the cutting trough and raised the forks up until they came into contact with the trough, to relieve any pressure from the saddle supports underneath. He un-pinned and removed one saddle support, then attempted to un-pin/remove the second support. He took his left hand and held the tubing and the slide portion of the saddle support in order to gain additional leverage to free the stuck pin. Once the pin came out, the slide fell and smashed his left index finger between the saddle and the tubing.","An employee was helping a coworker lower a cutting trough. The coworker attached a chain to the cutting trough and a shaker walkway overhang. The employee centered a forklift on the cutting trough and raised the forks up until they came into contact with the trough, to relieve any pressure from the saddle supports underneath. He un-pinned and removed one saddle support, then attempted to un-pin/remove the second support. He took his left hand and held the tubing and the slide portion of the saddle support in order to gain additional leverage to free the stuck pin. Once the pin came out, the slide fell and smashed his left index finger between the saddle and the tubing.",0.0,maintenance_repair,machinery,none,Line of Fire
pressure_line_breaking,2020065752,6/19/2020,"DH Pace Company, Inc., dba Overhead Door Company of St. Louis",238290,0.0,1.0,0.0,Amputations,Fingertip(s),Caught in running equipment or machinery during regular operation,Gates,"An employee was servicing a traffic arresting barrier gate that was equipped with a retractable bollard. The bollard is moved into the up position by use of a pump and hydraulic pressure. The bollard moves into the down position by gravity as a solenoid is triggered to open a valve to relieve hydraulic pressure. When the gate is closed, the bollard is in the up position. When the gate is triggered to be opened, the bollard retracts below the road surface and then the gate slides open.  There was a removable access panel that allows access below the surface of the road to a pit where adjustments to limit switches, sensors, etc. may be made. After diagnosing the problems with the gate, the employee discovered an issue with the proximity sensor within the pit below the access panel. While adhering magnets to the surface of the bollard in line with the proximity sensor, the bollard unexpectedly descended into the frame sleeve below the road surface without the hydraulic pump activating. The employee's hands were in the pit at the time and his fingers were inside the frame sleeve. The employee's left middle and ring fingertips were amputated. The right middle fingertip was also amputated.","An employee was servicing a traffic arresting barrier gate that was equipped with a retractable bollard. The bollard is moved into the up position by use of a pump and hydraulic pressure. The bollard moves into the down position by gravity as a solenoid is triggered to open a valve to relieve hydraulic pressure. When the gate is closed, the bollard is in the up position. When the gate is triggered to be opened, the bollard retracts below the road surface and then the gate slides open. There was a removable access panel that allows access below the surface of the road to a pit where adjustments to limit switches, sensors, etc. may be made. After diagnosing the problems with the gate, the employee discovered an issue with the proximity sensor within the pit below the access panel. While adhering magnets to the surface of the bollard in line with the proximity sensor, the bollard unexpectedly descended into the frame sleeve below the road surface without the hydraulic pump activating. The employee's hands were in the pit at the time and his fingers were inside the frame sleeve. The employee's left middle and ring fingertips were amputated. The right middle fingertip was also amputated.",1.0,maintenance_repair,machinery,unknown_stored_energy,Line of Fire
pressure_line_breaking,20231211562,12/21/2023,Berg Pipe Mobile,332996,1.0,0.0,0.0, Fractures,"Back, including spine, spinal cord, unspecified", Caught in running equipment or machinery during regular operation," Machinery, unspecified",An employee was working as a paint inspector and was inspecting painted pipe for production runs. She pressed the joystick to move the pipe into the number 1 position and then stepped up onto a platform to inspect the end of the pipe. The pipe began to move into the number 2 position that is across the platform the employee was working at. As the employee realized the pipe was moving she tried to back up but was pinned against the pipe roller on the other side of the platform. The pipe continued to move across the platform crushing the employee. The employee suffered a fractured back.,An employee was working as a paint inspector and was inspecting painted pipe for production runs. She pressed the joystick to move the pipe into the number 1 position and then stepped up onto a platform to inspect the end of the pipe. The pipe began to move into the number 2 position that is across the platform the employee was working at. As the employee realized the pipe was moving she tried to back up but was pinned against the pipe roller on the other side of the platform. The pipe continued to move across the platform crushing the employee. The employee suffered a fractured back.,1.0,maintenance_repair,machinery,none,Line of Fire
pressure_line_breaking,20251111705,11/26/2025,"Tri-State Brick &Tile Co., Inc.",327121,1.0,1.0,0.0," Amputations, avulsions, enucleations  unspecified", Other finger(s)  n.e.c.," Struck by running powered equipment  during maintenance, cleaning, testing", Filtering and sequestration machinery,"Maintenance personnel were working to replace fan belts on a scrubber fan. The belts and fan pulley were rotating due to residual airflow and heat drafting through the ductwork. A 2x4 block was inserted between the fan pulley and the frame to stop the rotating components, then a pipe wrench was positioned on the shaft to prevent further movement. The employees were loosening the motor mounts when the pipe wrench slipped off the shaft, allowing the fan pulley to begin rotating again. The injured employee went to reposition the pipe wrench. The wrench contacted the shaft and the employee's right hand was caught between the wrench and the metal guard structure, resulting in amputations to the ring finger and little finger.","Maintenance personnel were working to replace fan belts on a scrubber fan. The belts and fan pulley were rotating due to residual airflow and heat drafting through the ductwork. A 2x4 block was inserted between the fan pulley and the frame to stop the rotating components, then a pipe wrench was positioned on the shaft to prevent further movement. The employees were loosening the motor mounts when the pipe wrench slipped off the shaft, allowing the fan pulley to begin rotating again. The injured employee went to reposition the pipe wrench. The wrench contacted the shaft and the employee's right hand was caught between the wrench and the metal guard structure, resulting in amputations to the ring finger and little finger.",1.0,maintenance_repair,rotating_equipment,unknown_stored_energy,Line of Fire
hot_work,2015020564,2/20/2015,"Dean Dairy Holdings, LLC",311511,0.0,1.0,0.0,Amputations,"Finger(s), fingernail(s), n.e.c.",Caught in running equipment or machinery during regular operation,"Grinders, abraders","On February 20, 2015, at approximately 6:30 a.m., a maintenance employee was using a 12-inch pedestal grinder to grind spurs off a small piece of metal he was holding in his hand at a 45-degree angle. The end of the piece of metal got caught between the grinding wheel and the work rest, causing the piece part to become lodged in a fixed vertical position against the grinding wheel and catching the employee's left thumb between the piece part and the grinding wheel.  The employee was treated in the emergency room immediately following the accident with a fractured and lacerated thumb. Upon subsequent referral to a hand surgeon, the diagnosis was expanded to include partial amputation of the thumb.","On February 20, 2015, at approximately 6:30 a.m., a maintenance employee was using a 12-inch pedestal grinder to grind spurs off a small piece of metal he was holding in his hand at a 45-degree angle. The end of the piece of metal got caught between the grinding wheel and the work rest, causing the piece part to become lodged in a fixed vertical position against the grinding wheel and catching the employee's left thumb between the piece part and the grinding wheel. The employee was treated in the emergency room immediately following the accident with a fractured and lacerated thumb. Upon subsequent referral to a hand surgeon, the diagnosis was expanded to include partial amputation of the thumb.",0.0,manual_tools,hand_tool,none,none
hot_work,20171111183,11/22/2017,Huntington Ingalls Industries,336611,1.0,0.0,0.0,"Soreness, pain, hurt-nonspecified injury",Multiple head locations,Struck by falling part of powered vehicle still attached,"Water vehicle, n.e.c","An employee was welding in a submarine s sail area. The lookout area of the sail has two large hatch doors with mechanisms on both sides that can latch and lock onto the top when closed. The hatch doors are also usually spring-loaded to prevent them from falling abruptly. Neither door has the latches installed, and the starboard door s spring was not installed to the foundation. The starboard door was raised to the closed position, with the employee working underneath. At approximately 9:20 AM, the employee completed his weld and called his supervisor over for inspection. When his supervisor began to step down into the work area from the port side, the starboard hatch door fell, striking the employee in the head and face and pinning his head between the ship s foundation and the door itself. He suffered blunt force trauma to his head and face, requiring hospitalization.","An employee was welding in a submarine s sail area. The lookout area of the sail has two large hatch doors with mechanisms on both sides that can latch and lock onto the top when closed. The hatch doors are also usually spring-loaded to prevent them from falling abruptly. Neither door has the latches installed, and the starboard door s spring was not installed to the foundation. The starboard door was raised to the closed position, with the employee working underneath. At approximately 9:20 AM, the employee completed his weld and called his supervisor over for inspection. When his supervisor began to step down into the work area from the port side, the starboard hatch door fell, striking the employee in the head and face and pinning his head between the ship s foundation and the door itself. He suffered blunt force trauma to his head and face, requiring hospitalization.",1.0,hot_work,machinery,barrier_bypassed,Bypassing Safety Controls
hot_work,20201110986,11/19/2020,"Edsal Manufacturing Company, Inc.",337124,1.0,0.0,0.0,Fractures (except skull fractures) and concussions ,"Multiple body parts, unspecified",Caught between rolling powered vehicle and other object,"Forklift, order picker, platform truck-powered","On November 19, 2020, a maintenance employee was assisting other employees to move equipment from one company location to another. The employees loaded several pieces of fencing/guardrails and a welding machine onto the forks of a forklift. The employees then backed the welder into the trailer and drove several blocks away. Upon reaching the facility, the employees parked the trailer at a dock that had an approximate 15 degree incline. The injured employee went into the trailer to retrieve the equipment and found the fencing had shifted between the welder and the forklift. As the employee attempted to remove the fencing, the forklift began rolling forward striking and pinning the employee between the welder frame and the forklift. The employee sustained fractures and a concussion from the impact of the forklift and was hospitalized.","On November 19, 2020, a maintenance employee was assisting other employees to move equipment from one company location to another. The employees loaded several pieces of fencing/guardrails and a welding machine onto the forks of a forklift. The employees then backed the welder into the trailer and drove several blocks away. Upon reaching the facility, the employees parked the trailer at a dock that had an approximate 15 degree incline. The injured employee went into the trailer to retrieve the equipment and found the fencing had shifted between the welder and the forklift. As the employee attempted to remove the fencing, the forklift began rolling forward striking and pinning the employee between the welder frame and the forklift. The employee sustained fractures and a concussion from the impact of the forklift and was hospitalized.",1.0,material_handling,vehicle,none,Line of Fire
